problem_id,题号,标题,难度,所属分类,标签,简介,链接,所属题库
21,344,反转字符串,简单,字符串,"双指针,字符串",编写一个函数，其作用是将输入的字符串反转过来。输入字符串以字符数组s的形式给出。,https://leetcode.cn/problems/reverse-string/,1
22,541,反转字符串 II,简单,字符串,"双指针,字符串",给定一个字符串s和一个整数k，从字符串开头算起，每计数至2k个字符，就反转这2k字符中的前k个字符。,https://leetcode.cn/problems/reverse-string-ii/,1
23,剑指 Offer 05,替换空格,简单,字符串,字符串,"请实现一个函数，把字符串s中的每个空格替换成""%20""。",https://leetcode.cn/problems/ti-huan-kong-ge-lcof/,1
24,151,翻转字符串里的单词,中等,字符串,"双指针,字符串",给你一个字符串s，请你反转字符串中单词的顺序。返回单词顺序颠倒且单词之间用单个空格连接的结果字符串。,https://leetcode.cn/problems/reverse-words-in-a-string/,1
25,剑指 Offer 58 - II,左旋转字符串,简单,字符串,"数学,双指针,字符串",字符串的左旋转操作是把字符串前面的若干个字符转移到字符串的尾部。请定义一个函数实现字符串左旋转操作的功能。,https://leetcode.cn/problems/zuo-xuan-zhuan-zi-fu-chuan-lcof/,1
26,28,实现 strStr(),简单,字符串,"双指针,字符串,字符串匹配,KMP",给你两个字符串haystack和needle，请你在haystack字符串中找出needle字符串的第一个匹配项的下标。,https://leetcode.cn/problems/implement-strstr/,1
27,459,重复的子字符串,简单,字符串,"字符串,字符串匹配,KMP",给定一个非空的字符串s，检查是否可以通过由它的一个子串重复多次构成。,https://leetcode.cn/problems/repeated-substring-pattern/,1
28,232,用栈实现队列,简单,栈与队列,"栈,设计,队列",请你仅使用两个栈实现先入先出队列。队列应当支持一般队列支持的所有操作（push、pop、peek、empty）。,https://leetcode.cn/problems/implement-queue-using-stacks/,1
29,225,用队列实现栈,简单,栈与队列,"栈,设计,队列",请你仅使用两个队列实现一个后入先出（LIFO）的栈，并支持普通栈的全部四种操作（push、top、pop和empty）。,https://leetcode.cn/problems/implement-stack-using-queues/,1
30,20,有效的括号,简单,栈与队列,"栈,字符串",给定一个只包括'('，')'，'{'，'}'，'['，']'的字符串s，判断字符串是否有效。,https://leetcode.cn/problems/valid-parentheses/,1
31,1047,删除字符串中的所有相邻重复项,简单,栈与队列,"栈,字符串",给出由小写字母组成的字符串S，重复项删除操作会选择两个相邻且相同的字母，并删除它们。返回在完成所有重复项删除后得到的最终字符串。,https://leetcode.cn/problems/remove-all-adjacent-duplicates-in-string/,1
32,150,逆波兰表达式求值,中等,栈与队列,"栈,数组,数学",给你一个字符串数组tokens，表示一个根据逆波兰表示法表示的算术表达式。请你计算该表达式。返回一个表示表达式值的整数。,https://leetcode.cn/problems/evaluate-reverse-polish-notation/,1
33,239,滑动窗口最大值,困难,栈与队列,"队列,数组,滑动窗口,单调队列,堆",给你一个整数数组nums，有一个大小为k的滑动窗口从数组的最左侧移动到数组的最右侧。返回滑动窗口中的最大值。,https://leetcode.cn/problems/sliding-window-maximum/,1
34,347,前 K 个高频元素,中等,栈与队列,"数组,哈希表,分治,桶排序,计数,快速选择,排序,堆",给你一个整数数组nums和一个整数k，请你返回其中出现频率前k高的元素。你可以按任意顺序返回答案。,https://leetcode.cn/problems/top-k-frequent-elements/,1
35,144,二叉树的前序遍历,简单,二叉树,"栈,树,深度优先搜索,二叉树",给你二叉树的根节点root，返回它节点值的前序遍历。,https://leetcode.cn/problems/binary-tree-preorder-traversal/,1
36,145,二叉树的后序遍历,简单,二叉树,"栈,树,深度优先搜索,二叉树",给你一棵二叉树的根节点root，返回其节点值的后序遍历。,https://leetcode.cn/problems/binary-tree-postorder-traversal/,1
37,94,二叉树的中序遍历,简单,二叉树,"栈,树,深度优先搜索,二叉树",给定一个二叉树的根节点root，返回它的中序遍历。,https://leetcode.cn/problems/binary-tree-inorder-traversal/,1
38,102,二叉树的层序遍历,中等,二叉树,"树,广度优先搜索,二叉树",给你二叉树的根节点root，返回其节点值的层序遍历。（即逐层地，从左到右访问所有节点）。,https://leetcode.cn/problems/binary-tree-level-order-traversal/,1
39,107,二叉树的层序遍历 II,中等,二叉树,"树,广度优先搜索,二叉树",给你二叉树的根节点root，返回其节点值自底向上的层序遍历。,https://leetcode.cn/problems/binary-tree-level-order-traversal-ii/,1
40,199,二叉树的右视图,中等,二叉树,"树,深度优先搜索,广度优先搜索,二叉树",给定一个二叉树的根节点root，想象自己站在它的右侧，按照从顶部到底部的顺序，返回从右侧所能看到的节点值。,https://leetcode.cn/problems/binary-tree-right-side-view/,1
41,637,二叉树的层平均值,简单,二叉树,"树,深度优先搜索,广度优先搜索,二叉树","给定一个非空二叉树的根节点root, 以数组的形式返回每一层节点的平均值。",https://leetcode.cn/problems/average-of-levels-in-binary-tree/,1
42,429,N 叉树的层序遍历,中等,二叉树,"树,广度优先搜索",给定一个N叉树，返回其节点值的层序遍历。（即从左到右，逐层遍历）。,https://leetcode.cn/problems/n-ary-tree-level-order-traversal/,1
43,515,在每个树行中找最大值,中等,二叉树,"树,深度优先搜索,广度优先搜索,二叉树",给定一棵二叉树的根节点root，请找出该二叉树中每一层的最大值。,https://leetcode.cn/problems/find-largest-value-in-each-tree-row/,1
44,116,填充每个节点的下一个右侧节点指针,中等,二叉树,"树,深度优先搜索,广度优先搜索,链表,二叉树",给定一个完美二叉树，其所有叶子节点都在同一层，每个父节点都有两个子节点。填充它的每个next指针，让这个指针指向其下一个右侧节点。,https://leetcode.cn/problems/populating-next-right-pointers-in-each-node/,1
45,117,填充每个节点的下一个右侧节点指针 II,中等,二叉树,"树,深度优先搜索,广度优先搜索,链表,二叉树",给定一个二叉树，填充它的每个next指针，让这个指针指向其下一个右侧节点。如果找不到下一个右侧节点，则将next指针设置为NULL。,https://leetcode.cn/problems/populating-next-right-pointers-in-each-node-ii/,1
46,104,二叉树的最大深度,简单,二叉树,"树,深度优先搜索,广度优先搜索,二叉树",给定一个二叉树root，返回其最大深度。二叉树的最大深度是指从根节点到最远叶子节点的最长路径上的节点数。,https://leetcode.cn/problems/maximum-depth-of-binary-tree/,1
47,111,二叉树的最小深度,简单,二叉树,"树,深度优先搜索,广度优先搜索,二叉树",给定一个二叉树，找出其最小深度。最小深度是从根节点到最近叶子节点的最短路径上的节点数量。,https://leetcode.cn/problems/minimum-depth-of-binary-tree/,1
48,226,翻转二叉树,简单,二叉树,"树,深度优先搜索,广度优先搜索,二叉树",给你一棵二叉树的根节点root，翻转这棵二叉树，并返回其根节点。,https://leetcode.cn/problems/invert-binary-tree/,1
49,101,对称二叉树,简单,二叉树,"树,深度优先搜索,广度优先搜索,二叉树",给你一个二叉树的根节点root，检查它是否轴对称。,https://leetcode.cn/problems/symmetric-tree/,1
50,222,完全二叉树的节点个数,中等,二叉树,"位运算,树,二分查找,二叉树",给你一棵完全二叉树的根节点root，求出该树的节点个数。,https://leetcode.cn/problems/count-complete-tree-nodes/,1
51,110,平衡二叉树,简单,二叉树,"树,深度优先搜索,二叉树",给定一个二叉树，判断它是否是高度平衡的二叉树。,https://leetcode.cn/problems/balanced-binary-tree/,1
52,257,二叉树的所有路径,简单,二叉树,"树,深度优先搜索,字符串,回溯,二叉树",给你一个二叉树的根节点root，按任意顺序返回所有从根节点到叶子节点的路径。,https://leetcode.cn/problems/binary-tree-paths/,1
53,404,左叶子之和,简单,二叉树,"树,深度优先搜索,广度优先搜索,二叉树",给定二叉树的根节点root，返回所有左叶子之和。,https://leetcode.cn/problems/sum-of-left-leaves/,1
54,513,找树左下角的值,中等,二叉树,"树,深度优先搜索,广度优先搜索,二叉树",给定一个二叉树的根节点root，请找出该二叉树的最底层最左边节点的值。,https://leetcode.cn/problems/find-bottom-left-tree-value/,1
55,112,路径总和,简单,二叉树,"树,深度优先搜索,广度优先搜索,二叉树",给你二叉树的根节点root和一个表示目标和的整数targetSum。判断该树中是否存在根节点到叶子节点的路径，这条路径上所有节点值相加等于目标和targetSum。,https://leetcode.cn/problems/path-sum/,1
56,105,从前序与中序遍历序列构造二叉树,中等,二叉树,"树,数组,哈希表,分治,二叉树",给定两个整数数组preorder和inorder，其中preorder是二叉树的先序遍历，inorder是同一棵树的中序遍历，请构造二叉树并返回其根节点。,https://leetcode.cn/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,1
57,106,从中序与后序遍历序列构造二叉树,中等,二叉树,"树,数组,哈希表,分治,二叉树",给定两个整数数组inorder和postorder，其中inorder是二叉树的中序遍历，postorder是同一棵树的后序遍历，请你构造并返回这颗二叉树。,https://leetcode.cn/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,1
58,654,最大二叉树,中等,二叉树,"栈,树,数组,分治,二叉树,单调栈",给定一个不重复的整数数组nums。最大二叉树可以用下面的算法从nums递归地构建：创建一个根节点，其值为nums中的最大值。,https://leetcode.cn/problems/maximum-binary-tree/,1
59,617,合并二叉树,简单,二叉树,"树,深度优先搜索,广度优先搜索,二叉树",给你两棵二叉树：root1和root2。请你将这两棵树合并成一棵新二叉树。合并的规则是：如果两个节点重叠，那么将这两个节点的值相加作为合并后节点的新值。,https://leetcode.cn/problems/merge-two-binary-trees/,1
60,700,二叉搜索树中的搜索,简单,二叉树,"树,二叉搜索树,二叉树",给定二叉搜索树（BST）的根节点root和一个整数值val。你需要在BST中找到节点值等于val的节点。,https://leetcode.cn/problems/search-in-a-binary-search-tree/,1
61,98,验证二叉搜索树,中等,二叉树,"树,深度优先搜索,二叉搜索树,二叉树",给你一个二叉树的根节点root，判断其是否是一个有效的二叉搜索树。,https://leetcode.cn/problems/validate-binary-search-tree/,1
62,530,二叉搜索树的最小绝对差,简单,二叉树,"树,深度优先搜索,广度优先搜索,二叉搜索树,二叉树",给你一个二叉搜索树的根节点root，返回树中任意两不同节点值之间的最小差值。,https://leetcode.cn/problems/minimum-absolute-difference-in-bst/,1
63,501,二叉搜索树中的众数,简单,二叉树,"树,深度优先搜索,二叉搜索树,二叉树",给你一个含重复值的二叉搜索树（BST）的根节点root，找出并返回BST中的所有众数（即出现频率最高的元素）。,https://leetcode.cn/problems/find-mode-in-binary-search-tree/,1
64,236,二叉树的最近公共祖先,中等,二叉树,"树,深度优先搜索,二叉树","给定一个二叉树,找到该树中两个指定节点的最近公共祖先。",https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree/,1
65,235,二叉搜索树的最近公共祖先,中等,二叉树,"树,深度优先搜索,二叉搜索树,二叉树","给定一个二叉搜索树, 找到该树中两个指定节点的最近公共祖先。",https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-search-tree/,1
66,701,二叉搜索树中的插入操作,中等,二叉树,"树,二叉搜索树,二叉树",给定二叉搜索树（BST）的根节点root和要插入树中的值value，将值插入二叉搜索树。返回插入后二叉搜索树的根节点。,https://leetcode.cn/problems/insert-into-a-binary-search-tree/,1
67,450,删除二叉搜索树中的节点,中等,二叉树,"树,二叉搜索树,二叉树",给定一个二叉搜索树的根节点root和一个值key，删除二叉搜索树中的key对应的节点，并保证二叉搜索树的性质不变。,https://leetcode.cn/problems/delete-node-in-a-bst/,1
68,669,修剪二叉搜索树,中等,二叉树,"树,深度优先搜索,二叉搜索树,二叉树","给你二叉搜索树的根节点root，同时给定最小边界low和最大边界high。通过修剪二叉搜索树，使得所有节点的值在[low, high]中。",https://leetcode.cn/problems/trim-a-binary-search-tree/,1
69,108,将有序数组转换为二叉搜索树,简单,二叉树,"树,二叉搜索树,数组,分治,二叉树",给你一个整数数组nums，其中元素已经按升序排列，请你将其转换为一棵高度平衡二叉搜索树。,https://leetcode.cn/problems/convert-sorted-array-to-binary-search-tree/,1
70,538,把二叉搜索树转换为累加树,中等,二叉树,"树,深度优先搜索,二叉搜索树,二叉树",给出二叉搜索树的根节点，该树的节点值各不相同，请你将其转换为累加树，使每个节点node的新值等于原树中大于或等于node.val的值之和。,https://leetcode.cn/problems/convert-bst-to-greater-tree/,1
71,77,组合,中等,回溯算法,"数组,回溯","给定两个整数n和k，返回范围[1, n]中所有可能的k个数的组合。",https://leetcode.cn/problems/combinations/,1
72,216,组合总和 III,中等,回溯算法,"数组,回溯",找出所有相加之和为n的k个数的组合，且满足只使用数字1到9，每个数字最多使用一次。返回所有可能的有效组合的列表。,https://leetcode.cn/problems/combination-sum-iii/,1
73,17,电话号码的字母组合,中等,回溯算法,"哈希表,字符串,回溯",给定一个仅包含数字2-9的字符串，返回所有它能表示的字母组合。答案可以按任意顺序返回。,https://leetcode.cn/problems/letter-combinations-of-a-phone-number/,1
74,39,组合总和,中等,回溯算法,"数组,回溯",给你一个无重复元素的整数数组candidates和一个目标整数target，找出candidates中可以使数字和为目标数target的所有不同组合。,https://leetcode.cn/problems/combination-sum/,1
75,40,组合总和 II,中等,回溯算法,"数组,回溯",给定一个候选人编号的集合candidates和一个目标数target，找出candidates中所有可以使数字和为target的组合。,https://leetcode.cn/problems/combination-sum-ii/,1
76,131,分割回文串,中等,回溯算法,"字符串,动态规划,回溯",给你一个字符串s，请你将s分割成一些子串，使每个子串都是回文串。返回s所有可能的分割方案。,https://leetcode.cn/problems/palindrome-partitioning/,1
77,93,复原 IP 地址,中等,回溯算法,"字符串,回溯",有效IP地址正好由四个整数（每个整数位于0到255之间组成，且不能含有前导0），整数之间用'.'分隔。给定一个只包含数字的字符串s，用以表示一个IP地址，返回所有可能的有效IP地址。,https://leetcode.cn/problems/restore-ip-addresses/,1
78,78,子集,中等,回溯算法,"位运算,数组,回溯",给你一个整数数组nums，数组中的元素互不相同。返回该数组所有可能的子集（幂集）。,https://leetcode.cn/problems/subsets/,1
79,90,子集 II,中等,回溯算法,"位运算,数组,回溯",给你一个整数数组nums，其中可能包含重复元素，请你返回该数组所有可能的子集（幂集）。,https://leetcode.cn/problems/subsets-ii/,1
80,46,全排列,中等,回溯算法,"数组,回溯",给定一个不含重复数字的数组nums，返回其所有可能的全排列。你可以按任意顺序返回答案。,https://leetcode.cn/problems/permutations/,1
81,47,全排列 II,中等,回溯算法,"数组,回溯",给定一个可包含重复数字的序列nums，按任意顺序返回所有不重复的全排列。,https://leetcode.cn/problems/permutations-ii/,1
82,491,递增子序列,中等,回溯算法,"位运算,数组,哈希表,回溯",给你一个整数数组nums，找出并返回所有该数组中不同的递增子序列，递增子序列中至少有两个元素。,https://leetcode.cn/problems/increasing-subsequences/,1
83,332,重新安排行程,困难,回溯算法,"深度优先搜索,图,欧拉回路","给你一份航线列表tickets，其中tickets[i] = [fromi, toi]表示飞机出发和降落的机场地点。请你对该行程进行重新规划排序。",https://leetcode.cn/problems/reconstruct-itinerary/,1
84,51,N 皇后,困难,回溯算法,"数组,回溯",按照国际象棋的规则，皇后可以攻击与之处在同一行或同一列或同一斜线上的棋子。n皇后问题研究的是如何将n个皇后放置在n×n的棋盘上，并且使皇后彼此之间不能相互攻击。,https://leetcode.cn/problems/n-queens/,1
85,37,解数独,困难,回溯算法,"数组,哈希表,回溯,矩阵",编写一个程序，通过填充空格来解决数独问题。数独的解法需遵循如下规则：数字1-9在每一行只能出现一次。,https://leetcode.cn/problems/sudoku-solver/,1
86,455,分发饼干,简单,贪心算法,"贪心,数组,双指针,排序",假设你是一位很棒的家长，想要给你的孩子们一些小饼干。但是，每个孩子最多只能给一块饼干。对每个孩子i，都有一个胃口值g[i]。,https://leetcode.cn/problems/assign-cookies/,1
87,376,摆动序列,中等,贪心算法,"贪心,数组,动态规划",如果连续数字之间的差严格地在正数和负数之间交替，则数字序列称为摆动序列。给你一个整数数组nums，返回nums中作为摆动序列的最长子序列的长度。,https://leetcode.cn/problems/wiggle-subsequence/,1
88,53,最大子数组和,中等,贪心算法,"数组,分治,动态规划,贪心",给你一个整数数组nums，请你找出一个具有最大和的连续子数组（子数组最少包含一个元素），返回其最大和。,https://leetcode.cn/problems/maximum-subarray/,1
89,122,买卖股票的最佳时机 II,中等,贪心算法,"贪心,数组,动态规划",给你一个整数数组prices，其中prices[i]表示某支股票第i天的价格。在每一天，你可以决定是否购买和/或出售股票。你在任何时候最多只能持有一股股票。,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-ii/,1
90,55,跳跃游戏,中等,贪心算法,"贪心,数组,动态规划",给定一个非负整数数组nums，你最初位于数组的第一个下标。数组中的每个元素代表你在该位置可以跳跃的最大长度。判断你是否能够到达最后一个下标。,https://leetcode.cn/problems/jump-game/,1
91,45,跳跃游戏 II,中等,贪心算法,"贪心,数组,动态规划",给定一个长度为n的0索引整数数组nums。初始位置为nums[0]。每个元素nums[i]表示从索引i向前跳转的最大长度。返回到达nums[n-1]的最小跳跃次数。,https://leetcode.cn/problems/jump-game-ii/,1
92,1005,K 次取反后最大化的数组和,简单,贪心算法,"贪心,数组,排序",给你一个整数数组nums和一个整数k，按以下方法修改该数组：选择某个下标i并将nums[i]替换为-nums[i]。返回数组可能的最大和。,https://leetcode.cn/problems/maximize-sum-of-array-after-k-negations/,1
93,134,加油站,中等,贪心算法,"贪心,数组",在一条环路上有n个加油站，其中第i个加油站有汽油gas[i]升。如果你可以绕环路行驶一周，则返回出发时加油站的编号，否则返回-1。,https://leetcode.cn/problems/gas-station/,1
94,135,分发糖果,困难,贪心算法,"贪心,数组",n个孩子站成一排。给你一个整数数组ratings表示每个孩子的评分。每个孩子至少分配到1个糖果。评分更高的孩子必须比他两侧的邻位孩子获得更多的糖果。,https://leetcode.cn/problems/candy/,1
95,860,柠檬水找零,简单,贪心算法,"贪心,数组",在柠檬水摊上，每一杯柠檬水的售价为5美元。每位顾客只买一杯柠檬水，然后向你付5美元、10美元或20美元。你必须给每个顾客正确找零。,https://leetcode.cn/problems/lemonade-change/,1
96,406,根据身高重建队列,中等,贪心算法,"贪心,数组,排序",假设有打乱顺序的一群人站成一个队列，数组people表示队列中一些人的属性（不一定按顺序）。请你重新构造并返回输入数组people所表示的队列。,https://leetcode.cn/problems/queue-reconstruction-by-height/,1
97,452,用最少数量的箭引爆气球,中等,贪心算法,"贪心,数组,排序",有一些球形气球贴在一堵用XY平面表示的墙面上。在x坐标上射出一支箭。如果气球的直径的开始和结束坐标间被箭穿过，那么气球会被射爆。返回引爆所有气球所必须射出的最小弓箭数。,https://leetcode.cn/problems/minimum-number-of-arrows-to-burst-balloons/,1
98,435,无重叠区间,中等,贪心算法,"贪心,数组,动态规划,排序","给定一个区间的集合intervals，其中intervals[i] = [starti, endi]。返回需要移除区间的最小数量，使剩余区间互不重叠。",https://leetcode.cn/problems/non-overlapping-intervals/,1
99,763,划分字母区间,中等,贪心算法,"贪心,哈希表,双指针,字符串",给你一个字符串s。我们要把这个字符串划分为尽可能多的片段，同一字母最多出现在一个片段中。返回一个表示每个字符串片段的长度的列表。,https://leetcode.cn/problems/partition-labels/,1
100,56,合并区间,中等,贪心算法,"数组,排序","以数组intervals表示若干个区间的集合，其中单个区间为intervals[i] = [starti, endi]。请你合并所有重叠的区间，并返回一个不重叠的区间数组。",https://leetcode.cn/problems/merge-intervals/,1
101,738,单调递增的数字,中等,贪心算法,"贪心,数学",当且仅当每个相邻位数上的数字x和y满足x<=y时，我们称这个整数是单调递增的。给定一个整数n，返回小于或等于n的最大数字，且数字呈单调递增。,https://leetcode.cn/problems/monotone-increasing-digits/,1
102,968,监控二叉树,困难,贪心算法,"树,深度优先搜索,动态规划,二叉树",给定一个二叉树，我们在树的节点上安装摄像头。节点上的每个摄影头都可以监视其父对象、自身及其直接子对象。计算监控树的所有节点所需的最小摄像头数量。,https://leetcode.cn/problems/binary-tree-cameras/,1
103,509,斐波那契数,简单,动态规划,"递归,记忆化搜索,数学,动态规划",斐波那契数，通常用F(n)表示，形成的序列称为斐波那契数列。该数列由0和1开始，后面的每一项数字都是前面两项数字的和。,https://leetcode.cn/problems/fibonacci-number/,1
104,70,爬楼梯,简单,动态规划,"记忆化搜索,数学,动态规划",假设你正在爬楼梯。需要n阶你才能到达楼顶。每次你可以爬1或2个台阶。你有多少种不同的方法可以爬到楼顶呢？,https://leetcode.cn/problems/climbing-stairs/,1
105,746,使用最小花费爬楼梯,简单,动态规划,"数组,动态规划",给你一个整数数组cost，其中cost[i]是从楼梯第i个台阶向上爬需要支付的费用。一旦你支付此费用，即可选择向上爬一个或者两个台阶。,https://leetcode.cn/problems/min-cost-climbing-stairs/,1
106,62,不同路径,中等,动态规划,"数学,动态规划,组合数学",一个机器人位于一个m x n网格的左上角。机器人每次只能向下或者向右移动一步。机器人试图达到网格的右下角。问总共有多少条不同的路径？,https://leetcode.cn/problems/unique-paths/,1
107,63,不同路径 II,中等,动态规划,"数组,动态规划,矩阵",一个机器人位于一个m x n网格的左上角。现在考虑网格中有障碍物。那么从左上角到右下角将会有多少条不同的路径？,https://leetcode.cn/problems/unique-paths-ii/,1
108,343,整数拆分,中等,动态规划,"数学,动态规划",给定一个正整数n，将其拆分为k个正整数的和（k>=2），并使这些整数的乘积最大化。返回你可以获得的最大乘积。,https://leetcode.cn/problems/integer-break/,1
109,96,不同的二叉搜索树,中等,动态规划,"树,二叉搜索树,数学,动态规划,二叉树",给你一个整数n，求恰由n个节点组成且节点值从1到n互不相同的二叉搜索树有多少种？返回满足题意的二叉搜索树的种数。,https://leetcode.cn/problems/unique-binary-search-trees/,1
110,416,分割等和子集,中等,动态规划,"数组,动态规划",给你一个只包含正整数的非空数组nums。请你判断是否可以将这个数组分割成两个子集，使得两个子集的元素和相等。,https://leetcode.cn/problems/partition-equal-subset-sum/,1
111,1049,最后一块石头的重量 II,中等,动态规划,"数组,动态规划",有一堆石头，用整数数组stones表示。其中stones[i]表示第i块石头的重量。每一回合，从中选出任意两块石头，然后将它们一起粉碎。返回剩下的石头最小的可能重量。,https://leetcode.cn/problems/last-stone-weight-ii/,1
112,494,目标和,中等,动态规划,"数组,动态规划,回溯",给你一个整数数组nums和一个整数target。向数组中的每个整数前添加'+'或'-'，然后串联起所有整数，可以构造一个表达式。返回可以通过上述方法构造的、运算结果等于target的不同表达式的数目。,https://leetcode.cn/problems/target-sum/,1
113,474,一和零,中等,动态规划,"数组,字符串,动态规划",给你一个二进制字符串数组strs和两个整数m和n。请你找出并返回strs的最大子集的长度，该子集中最多有m个0和n个1。,https://leetcode.cn/problems/ones-and-zeroes/,1
114,518,零钱兑换 II,中等,动态规划,"数组,动态规划",给你一个整数数组coins表示不同面额的硬币，另给一个整数amount表示总金额。请你计算并返回可以凑成总金额的硬币组合数。如果任何硬币组合都无法凑出总金额，返回0。,https://leetcode.cn/problems/coin-change-2/,1
115,377,组合总和 Ⅳ,中等,动态规划,"数组,动态规划",给你一个由不同整数组成的数组nums，和一个目标整数target。请你从nums中找出并返回总和为target的元素组合的个数。,https://leetcode.cn/problems/combination-sum-iv/,1
116,322,零钱兑换,中等,动态规划,"广度优先搜索,数组,动态规划",给你一个整数数组coins，表示不同面额的硬币；以及一个整数amount，表示总金额。计算并返回可以凑成总金额所需的最少的硬币个数。,https://leetcode.cn/problems/coin-change/,1
117,279,完全平方数,中等,动态规划,"广度优先搜索,数学,动态规划",给你一个整数n，返回和为n的完全平方数的最少数量。完全平方数是一个整数，其值等于另一个整数的平方。,https://leetcode.cn/problems/perfect-squares/,1
118,139,单词拆分,中等,动态规划,"字典树,记忆化搜索,哈希表,字符串,动态规划",给你一个字符串s和一个字符串列表wordDict作为字典。请你判断是否可以利用字典中出现的单词拼接出s。,https://leetcode.cn/problems/word-break/,1
119,198,打家劫舍,中等,动态规划,"数组,动态规划",你是一个专业的小偷，计划偷窃沿街的房屋。每间房内都藏有一定的现金，影响你偷窃的唯一制约因素就是相邻的房屋装有相互连通的防盗系统。,https://leetcode.cn/problems/house-robber/,1
