problem_id,题号,标题,难度,所属分类,标签,简介,链接,所属题库
114,114,二叉树展开为链表,中等,二叉树,栈、树、深度优先搜索、链表,给你二叉树的根结点 root ，请你将它展开为一个单链表：展开后的单链表应该同样使用 TreeNode ，其中 right 子指针指向链表中下一个结点，而左子指针始终为 null 。,https://leetcode.cn/problems/flatten-binary-tree-to-linked-list/,0
105,105,从前序与中序遍历序列构造二叉树,中等,二叉树,树、数组、哈希表、分治,给定两个整数数组 preorder 和 inorder ，其中 preorder 是二叉树的先序遍历， inorder 是同一棵树的中序遍历，请构造二叉树并返回其根节点。,https://leetcode.cn/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,0
437,437,路径总和 III,中等,二叉树,树、深度优先搜索、二叉树,给定一个二叉树的根节点 root ，和一个整数 targetSum ，求该二叉树里节点值之和等于 targetSum 的路径的数目。,https://leetcode.cn/problems/path-sum-iii/,0
236,236,二叉树的最近公共祖先,中等,二叉树,树、深度优先搜索、二叉树,"给定一个二叉树, 找到该树中两个指定节点的最近公共祖先。",https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree/,0
124,124,二叉树中的最大路径和,困难,二叉树,树、深度优先搜索、动态规划,二叉树中的路径被定义为一条节点序列，序列中每对相邻节点之间都存在一条边。同一个节点在一条路径序列中至多出现一次。该路径至少包含一个节点，且不一定经过根节点。路径和是路径中各节点值的总和。给你一个二叉树的根节点 root ，返回其最大路径和。,https://leetcode.cn/problems/binary-tree-maximum-path-sum/,0
200,200,岛屿数量,中等,图论,深度优先搜索、广度优先搜索、并查集,给你一个由 '1'（陆地）和 '0'（水）组成的的二维网格，请你计算网格中岛屿的数量。,https://leetcode.cn/problems/number-of-islands/,0
994,994,腐烂的橘子,中等,图论,广度优先搜索、数组、矩阵,在给定的 m x n 网格 grid 中，每个单元格可以有以下三个值之一：值 0 代表空单元格；值 1 代表新鲜橘子；值 2 代表腐烂的橘子。每分钟，腐烂的橘子周围 4 个方向上相邻的新鲜橘子都会腐烂。返回直到单元格中没有新鲜橘子为止所必须经过的最小分钟数。,https://leetcode.cn/problems/rotting-oranges/,0
207,207,课程表,中等,图论,深度优先搜索、广度优先搜索、图,"你这个学期必须选修 numCourses 门课程，记为 0 到 numCourses - 1 。在选修某些课程之前需要一些先修课程。 先修课程按数组 prerequisites 给出，其中 prerequisites[i] = [ai, bi] ，表示如果要学习课程 ai 则必须先学习课程 bi 。请你判断是否可能完成所有课程的学习？",https://leetcode.cn/problems/course-schedule/,0
208,208,实现 Trie (前缀树),中等,图论,设计、字典树、哈希表,"Trie（发音类似 ""try""）或者说前缀树是一种树形数据结构，用于高效地存储和检索字符串数据集中的键。请你实现 Trie 类。",https://leetcode.cn/problems/implement-trie-prefix-tree/,0
46,46,全排列,中等,回溯,数组、回溯,给定一个不含重复数字的数组 nums ，返回其所有可能的全排列。你可以按任意顺序返回答案。,https://leetcode.cn/problems/permutations/,0
78,78,子集,中等,回溯,位运算、数组、回溯,给你一个整数数组 nums ，数组中的元素互不相同。返回该数组所有可能的子集（幂集）。解集不能包含重复的子集。你可以按任意顺序返回解集。,https://leetcode.cn/problems/subsets/,0
17,17,电话号码的字母组合,中等,回溯,哈希表、字符串、回溯,给定一个仅包含数字 2-9 的字符串，返回所有它能表示的字母组合。答案可以按任意顺序返回。,https://leetcode.cn/problems/letter-combinations-of-a-phone-number/,0
39,39,组合总和,中等,回溯,数组、回溯,给你一个无重复元素的整数数组 candidates 和一个目标整数 target ，找出 candidates 中可以使数字和为目标数 target 的所有不同组合 ，并以列表形式返回。,https://leetcode.cn/problems/combination-sum/,0
22,22,括号生成,中等,回溯,字符串、动态规划、回溯,数字 n 代表生成括号的对数，请你设计一个函数，用于能够生成所有可能的并且有效的括号组合。,https://leetcode.cn/problems/generate-parentheses/,0
79,79,单词搜索,中等,回溯,深度优先搜索、数组、字符串、回溯,给定一个 m x n 二维字符网格 board 和一个字符串单词 word 。如果 word 存在于网格中，返回 true ；否则，返回 false 。,https://leetcode.cn/problems/word-search/,0
131,131,分割回文串,中等,回溯,字符串、动态规划、回溯,给你一个字符串 s，请你将 s 分割成一些子串，使每个子串都是回文串。返回 s 所有可能的分割方案。,https://leetcode.cn/problems/palindrome-partitioning/,0
51,51,N皇后,困难,回溯,数组、回溯,按照国际象棋的规则，皇后可以攻击与之处在同一行或同一列或同一斜线上的棋子。n 皇后问题研究的是如何将 n 个皇后放置在 n×n 的棋盘上，并且使皇后彼此之间不能相互攻击。,https://leetcode.cn/problems/n-queens/,0
35,35,搜索插入位置,简单,二分查找,数组、二分查找,给定一个排序数组和一个目标值，在数组中找到目标值，并返回其索引。如果目标值不存在于数组中，返回它将会被按顺序插入的位置。,https://leetcode.cn/problems/search-insert-position/,0
74,74,搜索二维矩阵,中等,二分查找,数组、二分查找、矩阵,给你一个满足下述两条属性的 m x n 整数矩阵：每行中的整数从左到右按非严格递增顺序排列。每行的第一个整数大于前一行的最后一个整数。给你一个整数 target ，如果 target 在矩阵中，返回 true ；否则，返回 false 。,https://leetcode.cn/problems/search-a-2d-matrix/,0
34,34,在排序数组中查找元素的第一个和最后一个位置,中等,二分查找,数组、二分查找,给你一个按照非递减顺序排列的整数数组 nums，和一个目标值 target。请你找出给定目标值在数组中的开始位置和结束位置。,https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array/,0
33,33,搜索旋转排序数组,中等,二分查找,数组、二分查找,"整数数组 nums 按升序排列，数组中的值互不相同。在传递给函数之前，nums 在预先未知的某个下标 k（0 <= k < nums.length）上进行了旋转，使数组变为 [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]]（下标从 0 开始计数）。给你旋转后的数组 nums 和一个整数 target ，如果 nums 中存在这个目标值 target ，则返回它的下标，否则返回 -1 。",https://leetcode.cn/problems/search-in-rotated-sorted-array/,0
153,153,寻找旋转排序数组中的最小值,中等,二分查找,数组、二分查找,"已知一个长度为 n 的数组，预先按照升序排列，经由 1 到 n 次旋转后，得到输入数组。例如，原数组 nums = [0,1,2,4,5,6,7] 在变化后可能得到：若旋转 4 次，则可以得到 [4,5,6,7,0,1,2]。给你一个元素值互不相同的数组 nums ，它原来是一个升序排列的数组，并按上述情形进行了多次旋转。请你找出并返回数组中的最小元素。",https://leetcode.cn/problems/find-minimum-in-rotated-sorted-array/,0
4,4,寻找两个正序数组的中位数,困难,二分查找,数组、二分查找、分治,给定两个大小分别为 m 和 n 的正序（从小到大）数组 nums1 和 nums2。请你找出并返回这两个正序数组的中位数。算法的时间复杂度应该为 O(log (m+n)) 。,https://leetcode.cn/problems/median-of-two-sorted-arrays/,0
20,20,有效的括号,简单,栈,栈、字符串,给定一个只包括 '('，')'，'{'，'}'，'['，']' 的字符串 s ，判断字符串是否有效。有效字符串需满足：左括号必须用相同类型的右括号闭合。左括号必须以正确的顺序闭合。每个右括号都有一个对应的相同类型的左括号。,https://leetcode.cn/problems/valid-parentheses/,0
155,155,最小栈,中等,栈,栈、设计,设计一个支持 push ，pop ，top 操作，并能在常数时间内检索到最小元素的栈。,https://leetcode.cn/problems/min-stack/,0
394,394,字符串解码,中等,栈,栈、递归、字符串,给定一个经过编码的字符串，返回它解码后的字符串。编码规则为: k[encoded_string]，表示其中方括号内部的 encoded_string 正好重复 k 次。,https://leetcode.cn/problems/decode-string/,0
739,739,每日温度,中等,栈,栈、数组、单调栈,给定一个整数数组 temperatures ，表示每天的温度，返回一个数组 answer ，其中 answer[i] 是指对于第 i 天，下一个更高温度出现在几天后。如果气温在这之后都不会升高，请在该位置用 0 来代替。,https://leetcode.cn/problems/daily-temperatures/,0
84,84,柱状图中最大的矩形,困难,栈,栈、数组、单调栈,给定 n 个非负整数，用来表示柱状图中各个柱子的高度。每个柱子彼此相邻，且宽度为 1 。求在该柱状图中，能够勾勒出来的矩形的最大面积。,https://leetcode.cn/problems/largest-rectangle-in-histogram/,0
215,215,数组中的第K个最大元素,中等,堆,数组、分治、快速选择、堆,给定整数数组 nums 和整数 k，请返回数组中第 k 个最大的元素。请注意，你需要找的是数组排序后的第 k 个最大的元素，而不是第 k 个不同的元素。,https://leetcode.cn/problems/kth-largest-element-in-an-array/,0
347,347,前 K 个高频元素,中等,堆,数组、哈希表、分治、堆,给你一个整数数组 nums 和一个整数 k ，请你返回其中出现频率前 k 高的元素。你可以按任意顺序返回答案。,https://leetcode.cn/problems/top-k-frequent-elements/,0
295,295,数据流的中位数,困难,堆,设计、双指针、数据流、堆,中位数是有序整数列表中的中间值。如果列表的大小是偶数，则没有中间值，中位数是两个中间值的平均值。实现 MedianFinder 类。,https://leetcode.cn/problems/find-median-from-data-stream/,0
121,121,买卖股票的最佳时机,简单,贪心算法,数组、动态规划,给定一个数组 prices ，它的第 i 个元素 prices[i] 表示一支给定股票第 i 天的价格。你只能选择某一天买入这只股票，并选择在未来的某一个不同的日子卖出该股票。设计一个算法来计算你所能获取的最大利润。,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/,0
55,55,跳跃游戏,中等,贪心算法,贪心、数组、动态规划,给你一个非负整数数组 nums ，你最初位于数组的第一个下标。数组中的每个元素代表你在该位置可以跳跃的最大长度。判断你是否能够到达最后一个下标。,https://leetcode.cn/problems/jump-game/,0
45,45,跳跃游戏 II,中等,贪心算法,贪心、数组、动态规划,给定一个长度为 n 的 0 索引整数数组 nums。初始位置为 nums[0]。每个元素 nums[i] 表示从索引 i 向前跳转的最大长度。换句话说，如果你在 nums[i] ，你可以跳转到任意 nums[i + j] 处。返回到达 nums[n - 1] 的最小跳跃次数。,https://leetcode.cn/problems/jump-game-ii/,0
763,763,划分字母区间,中等,贪心算法,贪心、哈希表、双指针,给你一个字符串 s 。我们要把这个字符串划分为尽可能多的片段，同一字母最多出现在一个片段中。注意，每个片段是连续的。返回一个表示每个字符串片段的长度的列表。,https://leetcode.cn/problems/partition-labels/,0
70,70,爬楼梯,简单,动态规划,记忆化搜索、数学、动态规划,假设你正在爬楼梯。需要 n 阶你才能到达楼顶。每次你可以爬 1 或 2 个台阶。你有多少种不同的方法可以爬到楼顶呢？,https://leetcode.cn/problems/climbing-stairs/,0
118,118,杨辉三角,简单,动态规划,数组、动态规划,给定一个非负整数 numRows，生成「杨辉三角」的前 numRows 行。在「杨辉三角」中，每个数是它左上方和右上方的数的和。,https://leetcode.cn/problems/pascals-triangle/,0
198,198,打家劫舍,中等,动态规划,数组、动态规划,你是一个专业的小偷，计划偷窃沿街的房屋。每间房内都藏有一定的现金，影响你偷窃的唯一制约因素就是相邻的房屋装有相互连通的防盗系统，如果两间相邻的房屋在同一晚上被小偷闯入，系统会自动报警。给定一个代表每个房屋存放金额的非负整数数组，计算你不触动警报装置的情况下 ，一夜之内能够偷窃到的最高金额。,https://leetcode.cn/problems/house-robber/,0
279,279,完全平方数,中等,动态规划,广度优先搜索、数学、动态规划,给你一个整数 n ，返回和为 n 的完全平方数的最少数量。完全平方数是一个整数，其值等于另一个整数的平方；换句话说，其值等于一个整数自乘的积。,https://leetcode.cn/problems/perfect-squares/,0
322,322,零钱兑换,中等,动态规划,广度优先搜索、数组、动态规划,给你一个整数数组 coins ，表示不同面额的硬币；以及一个整数 amount ，表示总金额。计算并返回可以凑成总金额所需的最少的硬币个数。如果没有任何一种硬币组合能组成总金额，返回 -1 。,https://leetcode.cn/problems/coin-change/,0
139,139,单词拆分,中等,动态规划,字典树、记忆化搜索、数组、动态规划,给你一个字符串 s 和一个字符串列表 wordDict 作为字典。如果可以利用字典中出现的一个或多个单词拼接出 s 则返回 true。注意：不要求字典中出现的单词全部都使用，并且字典中的单词可以重复使用。,https://leetcode.cn/problems/word-break/,0
300,300,最长递增子序列,中等,动态规划,数组、二分查找、动态规划,给你一个整数数组 nums ，找到其中最长严格递增子序列的长度。子序列是由数组派生而来的序列，删除（或不删除）数组中的元素而不改变其余元素的顺序。,https://leetcode.cn/problems/longest-increasing-subsequence/,0
152,152,乘积最大子数组,中等,动态规划,数组、动态规划,给你一个整数数组 nums ，请你找出数组中乘积最大的非空连续子数组（该子数组中至少包含一个数字），并返回该子数组所对应的乘积。,https://leetcode.cn/problems/maximum-product-subarray/,0
416,416,分割等和子集,中等,动态规划,数组、动态规划,给你一个只包含正整数的非空数组 nums 。请你判断是否可以将这个数组分割成两个子集，使得两个子集的元素和相等。,https://leetcode.cn/problems/partition-equal-subset-sum/,0
32,32,最长有效括号,困难,动态规划,栈、字符串、动态规划,给你一个只包含 '(' 和 ')' 的字符串，找出最长有效（格式正确且连续）括号子串的长度。,https://leetcode.cn/problems/longest-valid-parentheses/,0
62,62,不同路径,中等,多维动态规划,数学、动态规划、组合数学,一个机器人位于一个 m x n 网格的左上角。机器人每次只能向下或者向右移动一步。机器人试图达到网格的右下角。问总共有多少条不同的路径？,https://leetcode.cn/problems/unique-paths/,0
64,64,最小路径和,中等,多维动态规划,数组、动态规划、矩阵,给定一个包含非负整数的 m x n 网格 grid ，请找出一条从左上角到右下角的路径，使得路径上的数字总和为最小。每次只能向下或者向右移动一步。,https://leetcode.cn/problems/minimum-path-sum/,0
5,5,最长回文子串,中等,多维动态规划,双指针、字符串、动态规划,给你一个字符串 s，找到 s 中最长的回文子串。如果字符串的反序与原始字符串相同，则该字符串称为回文字符串。,https://leetcode.cn/problems/longest-palindromic-substring/,0
1143,1143,最长公共子序列,中等,多维动态规划,字符串、动态规划,给定两个字符串 text1 和 text2，返回这两个字符串的最长公共子序列的长度。如果不存在公共子序列，返回 0 。,https://leetcode.cn/problems/longest-common-subsequence/,0
72,72,编辑距离,困难,多维动态规划,字符串、动态规划,给你两个单词 word1 和 word2，请你计算出将 word1 转换成 word2 所使用的最少操作数。你可以对一个单词进行如下三种操作：插入一个字符，删除一个字符，替换一个字符。,https://leetcode.cn/problems/edit-distance/,0
136,136,只出现一次的数字,简单,技巧,位运算、数组,给你一个非空整数数组 nums ，除了某个元素只出现一次以外，其余每个元素均出现两次。找出那个只出现了一次的元素。你必须设计并实现线性时间复杂度的算法来解决此问题，且该算法只使用常量额外空间。,https://leetcode.cn/problems/single-number/,0
169,169,多数元素,简单,技巧,数组、哈希表、分治,给定一个大小为 n 的数组 nums ，返回其中的多数元素。多数元素是指在数组中出现次数大于 ⌊ n/2 ⌋ 的元素。,https://leetcode.cn/problems/majority-element/,0
75,75,颜色分类,中等,技巧,数组、双指针、排序,给定一个包含红色、白色和蓝色、共 n 个元素的数组 nums ，原地对它们进行排序，使得相同颜色的元素相邻，并按照红色、白色、蓝色顺序排列。我们使用整数 0、 1 和 2 分别表示红色、白色和蓝色。,https://leetcode.cn/problems/sort-colors/,0
31,31,下一个排列,中等,技巧,数组、双指针,整数数组的一个排列就是将其所有成员以序列或线性顺序排列。下一个排列是指其整数的下一个字典序更大的排列。给你一个整数数组 nums ，找出 nums 的下一个排列。,https://leetcode.cn/problems/next-permutation/,0
287,287,寻找重复数,中等,技巧,位运算、数组、双指针,"给定一个包含 n + 1 个整数的数组 nums ，其数字都在 [1, n] 范围内（包括 1 和 n），可知至少存在一个重复的整数。假设 nums 只有一个重复的整数 ，返回这个重复的数。",https://leetcode.cn/problems/find-the-duplicate-number/,0
